Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Not Available,Proportion of population covered by at least a 2G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 2G mobile network [9.c.1],Rwanda,Percent,99.91
2016,Normal value,Not Available,Proportion of population covered by at least a 2G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 2G mobile network [9.c.1],Rwanda,Percent,99.92
2017,Normal value,Not Available,Proportion of population covered by at least a 2G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 2G mobile network [9.c.1],Rwanda,Percent,99.92
2018,Normal value,Not Available,Proportion of population covered by at least a 2G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 2G mobile network [9.c.1],Rwanda,Percent,99.92
2019,Normal value,Not Available,Proportion of population covered by at least a 2G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 2G mobile network [9.c.1],Rwanda,Percent,99.94
2015,Normal value,Not Available,Proportion of population covered by at least a 3G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 3G mobile network [9.c.1],Rwanda,Percent,88.01
2016,Normal value,Not Available,Proportion of population covered by at least a 3G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 3G mobile network [9.c.1],Rwanda,Percent,92.08
2017,Normal value,Not Available,Proportion of population covered by at least a 3G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 3G mobile network [9.c.1],Rwanda,Percent,93.37
2018,Normal value,Not Available,Proportion of population covered by at least a 3G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 3G mobile network [9.c.1],Rwanda,Percent,93.37
2019,Normal value,Not Available,Proportion of population covered by at least a 3G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 3G mobile network [9.c.1],Rwanda,Percent,97.44
2016,Normal value,Not Available,Proportion of population covered by at least a 4G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 4G mobile network [9.c.1],Rwanda,Percent,62.0
2017,Normal value,Not Available,Proportion of population covered by at least a 4G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 4G mobile network [9.c.1],Rwanda,Percent,89.0
2018,Normal value,Not Available,Proportion of population covered by at least a 4G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 4G mobile network [9.c.1],Rwanda,Percent,96.6
2019,Normal value,Not Available,Proportion of population covered by at least a 4G mobile network,Units,"Statistics report for telecom, media and postal services, RURA",Annual,National,Proportion of population covered by at least a 4G mobile network [9.c.1],Rwanda,Percent,98.9
