Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2016,A,_X,Age and sex distribution of detected victims of trafficking in persons (%),0,MINIJUST,A,N,VC_VAW_DIST,RW,PT,0.57
2017,A,_X,Age and sex distribution of detected victims of trafficking in persons (%),0,MINIJUST,A,N,VC_VAW_DIST,RW,PT,0.47
2018,A,_X,Age and sex distribution of detected victims of trafficking in persons (%),0,MINIJUST,A,N,VC_VAW_DIST,RW,PT,0.74
2019,A,_X,Age and sex distribution of detected victims of trafficking in persons (%),0,MINIJUST,A,N,VC_VAW_DIST,RW,PT,0.51
2020,A,_X,Age and sex distribution of detected victims of trafficking in persons (%),0,MINIJUST,A,N,VC_VAW_DIST,RW,PT,0.72
2016,A,_X,Detected victims of human trafficking (number),0,MINIJUST,A,N,VC_HTF_DETV,RW,NUMBER,66.0
2017,A,_X,Detected victims of human trafficking (number),0,MINIJUST,A,N,VC_HTF_DETV,RW,NUMBER,55.0
2018,A,_X,Detected victims of human trafficking (number),0,MINIJUST,A,N,VC_HTF_DETV,RW,NUMBER,89.0
2019,A,_X,Detected victims of human trafficking (number),0,MINIJUST,A,N,VC_HTF_DETV,RW,NUMBER,63.0
2020,A,_X,Detected victims of human trafficking (number),0,MINIJUST,A,N,VC_HTF_DETV,RW,NUMBER,91.0
